number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type
4,1,8,189,0,0
39,1,13,315,0,0
0,1,13,351,1,0
22,2,6,58,2,0
0,1,14,350,1,0
63,1,5,231,0,0
114,1,5,235,0,0
13,3,5,329,0,0
4,1,11,365,1,0
1,1,11,364,1,0
0,1,18,355,2,0
33,1,5,113,0,1
1,1,10,288,1,0
17,2,5,0,1,0
17,1,5,261,1,1
9,3,28,60,0,0
3,1,6,345,1,0
205,1,6,179,1,0
30,2,5,0,0,0
54,3,28,60,0,1
103,1,10,364,1,0
197,1,13,324,0,0
0,7,9,365,0,0
17,1,34,365,0,2
0,1,7,266,1,0
84,1,12,359,1,0
9,2,327,313,1,1
16,4,7,334,3,0
64,2,6,177,0,0
7,1,5,344,2,0
6,3,28,60,0,0
71,1,15,314,0,0
6,1,17,246,1,1
29,3,9,355,2,0
5,1,8,352,0,0
25,1,8,84,1,0
24,1,30,165,1,0
11,1,6,0,1,0
0,15,28,185,1,0
22,1,7,319,0,0
7,3,12,0,1,1
0,1,7,294,1,0
18,1,8,360,0,0
22,2,34,288,0,0
6,5,5,308,2,0
50,3,28,47,0,1
2,1,8,365,4,2
22,1,6,265,2,1
95,3,8,338,0,0
129,2,10,355,2,0
0,1,6,365,1,1
237,1,7,70,0,0
23,1,9,238,0,1
20,2,6,243,2,1
1,5,7,0,0,0
13,3,6,50,1,0
1,2,9,365,1,2
0,1,10,200,1,0
88,1,12,61,0,0
8,2,327,327,1,1
0,1,14,361,1,0
43,3,28,60,0,1
0,1,9,293,1,0
66,5,5,326,0,0
1,5,7,365,2,2
3,1,5,329,1,0
4,1,5,0,1,0
1,2,327,159,1,1
9,2,327,272,1,1
14,1,8,206,1,2
52,5,5,333,0,1
58,1,11,16,0,0
1,1,9,299,1,0
0,2,6,351,1,0
48,5,7,139,2,1
98,1,5,180,2,0
0,1,12,31,0,1
17,1,5,40,1,1
21,2,7,58,0,0
20,1,5,332,0,0
15,3,47,238,1,0
6,2,327,328,1,0
31,1,5,361,2,0
2,1,7,0,1,0
12,7,13,247,0,0
16,2,5,222,0,0
1,3,8,180,4,0
6,7,13,301,0,0
107,1,5,32,2,0
8,1,7,179,2,0
47,1,6,365,2,0
7,1,10,23,1,0
1,3,13,365,0,0
1,2,7,110,0,1
36,2,7,286,3,0
9,1,8,0,1,0
6,1,13,364,4,1
0,1,13,335,1,0
0,1,12,124,1,1
20,13,8,14,0,0
14,1,6,0,2,0
4,1,9,323,1,0
108,1,11,23,0,0
71,3,8,360,0,0
9,1,5,365,0,2
10,1,7,313,2,2
10,3,8,225,1,1
5,2,327,76,1,1
5,2,327,343,1,1
3,7,13,239,0,0
5,3,5,113,0,1
0,5,8,365,0,2
11,2,7,330,0,1
20,2,34,344,0,0
26,3,5,365,4,0
2,1,7,298,1,0
2,7,13,258,0,0
6,3,8,326,1,1
74,1,5,89,2,0
17,4,8,316,3,0
78,1,5,301,1,1
2,1,5,73,0,2
17,2,7,324,2,1
13,1,8,81,1,0
0,3,5,361,0,0
10,2,327,330,1,1
25,14,12,89,1,0
188,1,5,270,0,0
176,1,8,365,0,0
16,3,13,71,0,1
4,1,20,168,1,0
8,2,327,247,1,1
4,1,33,179,1,1
0,3,10,89,4,0
88,3,10,358,2,0
10,2,7,0,2,0
77,2,5,167,0,0
48,1,8,128,2,0
2,1,9,287,1,1
11,1,5,300,2,0
60,1,7,225,1,2
30,3,5,254,0,0
10,1,7,353,1,0
7,5,6,24,1,0
1,3,13,90,0,0
2,1,20,365,1,0
3,1,15,188,0,0
8,1,8,312,1,1
0,1,15,328,1,0
38,7,5,365,2,1
1,1,7,60,1,0
20,2,6,0,1,0
49,2,5,86,2,1
201,1,11,240,1,0
9,2,5,152,0,1
2,1,5,309,1,0
0,1,10,0,0,0
208,1,6,352,2,0
11,2,327,312,1,1
6,1,6,164,0,0
6,7,47,359,1,0
2,1,6,0,1,0
32,3,9,72,0,1
24,3,28,60,0,1
30,2,10,344,1,0
56,2,5,355,3,0
3,1,5,290,1,0
5,3,49,204,1,1
1,2,5,0,0,0
20,3,6,178,0,0
0,6,5,0,1,0
29,3,5,96,2,0
0,15,5,342,0,0
22,2,34,289,0,0
2,2,6,287,0,0
67,1,5,186,0,0
87,1,8,156,2,0
38,2,6,0,1,0
2,1,14,365,1,0
6,2,34,343,0,2
20,1,5,315,1,0
24,1,5,32,2,0
4,7,47,365,1,0
4,2,5,168,0,0
22,1,6,81,2,0
5,5,5,69,0,0
1,2,26,302,0,0
0,7,6,343,0,2
117,1,15,236,0,0
15,1,8,34,1,1
18,1,6,365,2,2
3,1,5,358,1,0
10,1,5,50,0,1
1,1,14,357,1,0
14,1,5,85,0,1
44,3,5,363,0,1
34,1,5,262,2,0
28,3,13,90,0,0
34,4,9,49,0,1
20,1,5,0,1,0
7,5,8,365,0,2
6,7,47,328,1,0
78,1,12,360,1,0
0,2,7,147,0,0
2,2,327,299,1,1
18,1,5,189,0,0
9,3,49,190,1,1
36,2,7,122,2,0
45,4,7,333,3,0
3,1,6,350,0,2
0,15,14,0,0,2
0,3,6,365,1,0
0,1,14,343,1,0
1,1,5,292,1,0
31,1,5,1,0,0
108,5,5,129,0,0
24,3,28,84,0,1
9,1,7,253,2,0
0,3,6,256,2,1
14,1,5,359,2,0
0,2,8,58,4,0
72,1,6,53,1,1
4,2,10,350,0,0
14,1,6,138,2,0
22,2,5,360,2,0
67,1,12,241,1,0
20,1,5,65,2,0
17,2,5,0,0,0
0,15,14,0,0,0
89,5,6,94,0,0
2,3,5,265,1,1
31,1,5,321,1,0
2,3,49,224,1,1
1,1,5,364,2,0
2,2,327,338,1,1
11,1,5,78,2,0
12,2,327,302,1,1
11,1,6,169,1,2
40,1,7,59,0,0
10,1,5,90,2,0
0,15,12,179,1,0
0,1,20,360,1,0
16,1,8,363,0,0
44,1,8,199,1,2
26,2,8,349,0,0
13,1,17,361,0,0
90,1,12,63,0,0
116,1,8,236,0,0
55,2,10,361,2,0
0,1,8,352,2,0
11,5,5,90,2,2
5,1,7,51,1,0
55,1,8,204,1,2
66,2,5,150,2,0
5,2,327,311,1,1
69,1,6,167,1,2
81,1,6,85,2,0
26,1,6,23,0,2
0,1,7,358,2,0
0,1,18,362,2,0
60,3,5,169,1,0
0,1,6,23,1,2
2,2,5,350,0,1
77,1,5,310,1,0
4,1,7,365,2,2
68,2,5,44,1,0
119,1,15,313,0,0
32,3,13,74,0,0
0,1,20,359,1,0
8,1,6,0,0,1
0,1,5,359,0,1
3,3,13,74,0,1
1,1,14,53,0,1
2,1,9,287,1,1
9,1,17,88,0,2
1,3,12,365,1,0
12,1,7,308,2,1
11,7,47,358,1,0
3,15,11,199,0,0
24,2,7,57,2,0
1,2,8,175,4,0
14,1,7,83,1,2
13,1,34,365,0,2
34,3,28,60,0,1
1,2,327,353,1,1
4,2,327,133,1,1
12,1,7,179,2,0
0,1,6,364,1,0
11,3,5,347,0,0
41,2,10,359,0,0
5,1,5,365,1,2
13,4,7,299,1,0
73,2,5,87,4,1
102,1,6,237,0,0
165,1,12,338,1,0
24,2,5,351,0,0
4,3,5,41,0,1
11,2,5,51,0,1
333,1,5,139,2,0
62,5,6,140,0,0
2,14,28,320,1,2
10,2,34,313,0,0
0,1,8,71,1,1
19,1,5,359,2,0
3,2,327,293,1,1
14,1,5,0,0,0
0,1,33,180,0,0
192,1,5,245,1,0
6,2,327,329,1,1
91,3,7,20,0,0
34,2,5,126,2,0
62,1,8,3,1,1
21,2,5,125,2,0
0,4,6,36,0,0
8,1,8,305,2,1
0,1,10,362,1,0
10,3,5,311,0,0
4,7,9,120,0,0
0,1,6,294,1,0
0,15,14,0,0,0
61,4,6,178,3,0
24,1,5,247,4,0
59,5,5,24,0,1
218,1,6,184,1,0
1,7,13,358,1,0
1,14,28,341,1,2
2,1,26,365,0,0
4,2,5,180,2,0
39,1,7,221,1,2
0,1,12,14,0,1
2,1,7,365,1,2
0,1,8,357,2,2
1,14,28,320,1,2
1,1,33,365,0,0
4,2,327,331,1,1
76,6,5,279,2,0
0,1,9,339,1,1
32,2,6,251,0,0
0,1,11,179,1,0
3,3,12,365,1,0
10,2,327,319,1,1
3,2,327,348,1,1
7,1,9,324,1,0
5,7,47,326,1,0
0,1,13,364,1,0
6,1,17,358,0,0
9,1,5,64,0,0
5,2,327,58,1,1
36,1,6,0,0,0
7,1,17,234,1,1
0,1,13,343,1,0
13,1,10,365,1,0
0,15,14,0,0,0
19,1,7,332,4,1
12,1,7,50,1,0
46,2,5,341,1,0
1,2,7,37,3,2
6,3,6,0,2,1
8,7,47,271,1,0
16,5,5,88,2,2
82,7,12,152,2,0
13,1,8,311,0,0
6,4,8,285,3,0
16,1,6,32,1,0
83,2,6,320,2,1
108,1,12,356,1,0
0,1,15,296,1,0
9,1,11,176,1,0
45,1,5,315,1,0
6,1,8,89,1,0
0,15,28,185,1,0
0,2,8,32,0,2
93,1,15,305,0,0
45,3,8,356,0,1
10,1,6,365,2,0
0,1,30,363,1,0
10,1,17,182,1,1
8,2,5,342,0,1
33,2,5,0,0,0
19,4,8,42,1,0
147,1,5,292,1,0
2,1,5,180,4,0
0,1,7,230,1,0
0,1,8,333,2,0
4,1,6,337,1,1
0,1,5,306,1,1
41,1,5,335,0,0
3,3,28,60,0,0
47,3,6,0,1,0
2,1,18,365,2,0
10,14,5,286,0,1
12,1,8,282,2,0
30,3,12,0,1,1
16,7,6,185,0,0
2,1,33,365,2,0
4,3,8,237,1,0
0,1,20,189,1,0
67,2,6,50,0,0
3,1,8,129,2,0
2,4,6,230,3,1
0,2,11,163,1,0
8,3,9,358,2,0
6,1,9,360,2,0
9,2,327,113,1,1
108,1,6,325,1,2
77,1,6,361,2,0
43,3,28,84,0,1
39,1,6,359,2,0
0,1,12,0,1,1
4,1,6,320,1,1
65,2,6,361,2,0
138,1,6,177,2,0
68,1,6,153,2,0
5,1,7,90,1,2
65,1,8,346,2,2
95,1,6,258,2,0
1,1,5,267,1,0
8,1,10,360,2,0
11,1,9,342,2,0
38,2,13,365,4,1
130,2,6,342,2,0
120,1,11,362,0,0
0,3,5,365,0,0
23,2,13,268,1,1
7,1,5,336,2,0
106,1,5,243,0,0
2,14,12,146,1,0
4,5,7,237,1,0
15,5,6,238,2,0
2,1,33,1,0,0
0,2,8,89,4,1
107,1,5,345,0,0
24,4,7,293,3,0
12,3,34,365,0,2
1,1,5,328,0,0
0,2,7,349,4,0
0,15,14,0,0,0
113,1,12,360,1,0
1,1,6,170,0,0
38,1,7,225,1,2
12,1,6,365,1,1
7,1,30,166,1,0
2,15,11,189,0,0
9,2,327,323,1,1
72,1,11,363,0,0
0,2,7,177,4,0
2,2,327,286,1,1
41,2,10,362,0,0
0,2,7,177,4,0
4,7,8,309,2,0
31,3,9,348,2,0
43,1,11,281,1,1
126,1,5,287,1,1
34,1,8,364,0,0
158,1,10,32,0,0
22,1,5,324,0,0
1,2,10,361,0,0
0,2,7,168,0,0
33,1,6,170,0,0
0,1,8,316,2,0
0,1,5,19,2,0
7,1,7,296,1,0
57,2,6,254,2,0
12,1,7,179,2,0
14,1,5,229,4,0
1,1,7,365,1,0
177,2,6,320,3,0
0,1,6,207,0,2
16,2,13,263,1,1
15,1,6,325,0,0
0,1,10,363,1,0
5,1,7,63,1,0
11,3,5,280,0,1
38,1,17,337,0,0
4,1,5,21,1,2
39,3,9,91,0,1
101,3,6,180,0,0
5,2,327,268,1,1
20,1,30,364,1,0
2,2,327,331,1,1
0,1,6,229,0,0
1,1,10,342,1,0
3,2,327,333,1,1
21,5,5,206,0,1
22,2,5,361,4,1
86,1,5,161,1,0
32,1,17,363,0,0
0,2,7,177,4,0
132,1,5,238,1,0
0,7,6,321,0,2
10,1,17,224,1,1
4,2,9,283,2,0
0,2,5,365,2,1
0,1,10,345,1,0
26,2,6,355,2,0
0,1,8,319,2,0
22,2,7,58,2,1
4,1,6,365,2,0
10,2,6,356,2,2
51,1,5,273,0,0
4,7,47,365,1,0
28,1,17,362,0,0
0,1,5,342,3,1
84,1,10,347,1,0
12,1,17,86,0,2
17,1,5,282,1,1
2,12,12,0,0,2
52,3,8,361,0,0
2,1,8,88,4,2
9,1,10,357,2,0
192,1,11,305,1,0
29,1,5,339,1,1
28,2,9,120,1,2
25,2,9,12,1,2
7,1,7,365,0,2
51,4,8,316,3,0
82,1,5,152,0,1
50,1,6,316,1,0
2,1,5,334,1,0
8,2,327,105,1,1
4,3,5,17,1,0
4,2,5,355,3,0
1,1,11,364,1,0
0,15,14,0,0,2
7,2,327,346,1,1
1,3,6,364,1,0
27,3,6,256,2,0
0,7,13,365,1,0
10,2,5,232,0,0
7,2,327,275,1,1
0,1,18,365,2,0
0,3,7,16,2,1
22,4,6,0,1,0
5,3,5,255,1,1
2,3,12,353,2,0
0,2,5,0,0,0
36,2,8,218,0,0
38,2,5,46,0,1
31,1,9,337,2,0
9,2,327,133,1,1
0,2,6,0,0,1
0,3,7,320,0,0
13,1,30,361,1,0
16,3,6,57,0,0
0,2,327,279,1,1
0,1,7,331,1,0
0,3,5,365,0,0
11,1,5,166,0,0
247,1,6,161,1,0
3,1,6,163,0,0
27,1,30,327,1,0
16,1,5,345,0,0
1,1,6,365,0,0
20,1,6,157,2,0
1,3,49,204,1,1
4,1,9,298,1,1
0,1,7,4,2,0
68,3,8,343,0,1
1,1,5,333,0,0
7,1,6,326,2,0
37,2,7,325,0,0
24,3,9,343,2,0
150,1,6,255,2,1
0,1,10,282,1,0
19,1,8,81,1,0
15,1,13,357,4,1
0,5,6,121,2,1
92,2,8,87,0,0
65,1,12,57,0,0
34,5,6,212,2,0
16,1,11,363,0,0
38,1,5,307,1,0
6,3,6,225,1,0
22,1,5,162,2,0
32,2,5,88,2,0
31,8,6,270,1,0
24,3,5,236,2,2
0,2,11,207,1,0
1,1,6,342,0,1
0,14,28,321,1,2
17,1,17,87,0,2
2,7,9,151,0,0
35,7,6,11,1,0
3,3,8,352,0,0
0,1,10,352,0,2
2,1,8,0,1,1
36,3,5,365,4,0
130,2,6,347,0,0
6,2,327,323,1,1
100,2,5,338,4,0
13,1,5,160,0,0
36,1,5,57,4,0
1,1,6,24,1,2
15,1,8,0,2,0
2,1,5,90,2,0
1,1,6,40,1,0
12,3,6,332,1,0
2,3,5,347,0,1
3,1,33,179,1,1
6,2,327,355,1,1
104,1,9,300,2,0
59,4,6,120,0,0
12,7,47,354,1,0
186,1,13,293,0,0
98,3,10,68,4,0
10,1,9,20,0,1
23,1,8,334,0,1
6,3,5,307,0,0
12,5,10,301,0,2
12,1,5,119,0,0
7,2,5,0,0,0
1,1,5,365,0,0
0,3,10,315,4,1
10,3,34,332,0,2
37,1,6,364,2,0
2,3,6,90,1,0
8,1,5,361,1,2
10,3,13,90,0,0
6,2,327,295,1,1
0,3,5,226,0,1
18,1,8,179,0,0
2,2,6,287,0,0
0,2,5,211,0,0
1,1,6,24,1,2
7,1,5,326,2,1
0,1,11,179,1,0
26,1,6,365,2,2
1,15,5,343,0,0
14,2,13,279,1,1
0,1,6,271,1,0
3,1,6,365,1,2
1,1,15,351,1,0
4,15,11,341,0,0
0,1,33,180,0,2
28,2,6,160,0,0
5,1,5,365,0,1
35,1,6,155,0,0
2,1,8,189,0,0
4,1,11,88,0,0
2,1,6,179,2,0
0,3,6,50,2,0
8,1,7,50,1,0
25,1,30,169,1,0
95,1,8,145,2,0
126,1,15,343,0,0
0,1,12,20,0,1
1,1,5,0,0,0
0,4,5,340,0,2
158,1,5,170,1,0
13,3,5,275,0,1
24,1,5,46,1,2
4,1,26,179,0,0
115,5,5,149,0,0
7,1,5,291,1,0
3,5,5,219,1,0
34,1,5,49,2,0
0,3,10,69,4,0
0,3,12,351,2,2
1,1,11,364,1,0
2,3,7,34,2,1
5,3,5,278,0,1
0,1,7,361,1,0
46,1,17,342,0,0
9,3,8,316,1,1
7,1,5,73,2,0
20,1,8,53,1,0
0,1,5,110,2,1
7,7,13,252,0,0
106,1,5,123,2,0
24,1,30,155,1,0
0,1,6,364,1,1
10,2,5,342,2,0
21,2,5,354,3,1
0,1,33,180,0,0
95,1,8,175,2,0
6,1,10,288,1,0
3,2,327,341,1,1
0,1,10,311,1,0
10,1,30,356,1,0
7,3,13,74,0,1
4,1,5,318,1,0
245,1,13,339,0,0
22,1,30,141,1,0
0,1,5,281,1,0
0,1,13,362,1,0
23,3,8,326,1,1
63,1,6,0,0,1
7,2,13,276,1,1
0,7,10,281,0,2
12,2,327,302,1,1
11,4,8,338,3,0
8,3,49,204,1,1
0,1,7,300,1,0
168,1,5,359,0,0
7,2,327,331,1,1
5,1,7,326,0,0
59,7,12,120,2,0
210,1,10,81,1,0
1,1,12,158,1,1
80,2,6,241,0,1
4,1,9,315,1,0
5,2,26,311,0,0
59,1,6,362,1,2
0,1,18,365,2,0
116,1,5,351,0,2
2,1,7,362,1,2
1,1,5,15,1,0
0,1,12,146,1,1
9,7,47,326,1,0
33,2,5,86,4,1
9,1,6,180,0,2
23,1,12,48,0,0
25,1,11,330,1,1
0,3,5,357,0,0
430,1,5,347,2,0
37,2,13,364,4,0
9,7,47,358,1,0
10,1,8,273,2,0
5,1,5,0,1,0
41,1,10,218,0,0
3,1,6,365,0,0
8,1,7,14,0,0
0,1,9,311,1,0
14,2,7,57,2,0
0,1,10,365,0,0
0,2,13,364,4,0
21,1,5,87,1,1
43,1,11,363,0,0
18,1,6,365,2,2
15,1,10,348,2,0
2,1,6,365,0,0
63,1,12,267,1,0
2,2,13,259,1,1
10,2,6,249,0,0
1,1,9,317,1,0
0,3,7,23,2,1
5,2,327,335,1,1
25,6,8,307,2,0
17,2,327,271,1,1
1,2,327,322,1,1
97,2,5,145,0,0
10,1,5,70,0,0
0,1,8,0,1,0
14,1,5,63,0,1
0,3,9,30,1,0
4,2,327,298,1,1
70,14,5,281,2,0
8,3,8,339,1,1
0,1,6,152,0,0
12,1,7,352,0,0
2,1,7,169,0,0
42,1,5,126,1,0
1,1,6,365,0,0
105,7,8,261,2,1
0,2,5,0,0,0
42,3,6,0,1,0
2,1,10,127,2,0
10,2,327,292,1,1
7,1,10,352,2,0
11,1,17,221,1,1
26,15,12,125,1,0
0,1,7,5,2,1
9,3,6,0,2,1
1,7,13,358,1,0
76,14,6,343,0,0
107,14,12,323,2,0
13,2,34,308,0,0
8,1,7,90,1,2
9,1,17,338,0,0
4,2,5,330,0,0
2,7,9,114,0,0
1,3,12,345,2,2
8,2,5,144,2,1
1,4,5,332,2,2
49,1,12,51,0,0
0,15,14,0,0,2
1,1,11,365,0,1
0,2,7,170,0,0
14,1,12,241,1,0
1,5,7,365,2,2
5,1,5,365,0,2
10,1,7,312,0,0
37,2,6,336,2,1
3,1,9,269,1,0
1,4,7,365,2,2
59,1,6,174,1,2
0,1,5,364,2,0
50,1,9,339,2,0
54,1,9,265,2,0
